year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2008,18/12/2008,Southbound,Heavy Vehicles,5,4,6,3,9,18,29,39,55,58,65,79,62,65,81,80,55,58,35,17,13,8,6,4,0,0
2008,18/12/2008,Northbound,Light Vehicles,95,61,30,39,79,348,1395,2216,2737,1660,1170,1130,1067,1031,1077,1144,1209,1343,1218,774,542,504,466,262,0,0
2008,18/12/2008,Northbound,Heavy Vehicles,3,11,10,10,10,22,93,101,103,77,93,67,51,53,57,53,35,21,24,14,11,9,4,3,0,0
2008,18/12/2008,Southbound,All Vehicles,214,132,84,68,98,278,787,1120,1298,1193,1190,1287,1379,1222,1519,1774,2105,2455,2037,1223,871,878,771,462,0,0
2008,18/12/2008,Northbound,All Vehicles,98,72,40,49,89,370,1488,2317,2840,1737,1263,1197,1118,1084,1134,1197,1244,1364,1242,788,553,513,470,265,0,0
2008,19/12/2008,Northbound,Light Vehicles,132,64,32,41,82,346,1343,2191,2514,1677,1231,1170,1102,1003,1096,1187,1139,1259,1184,819,474,462,478,393,0,0
2008,19/12/2008,Southbound,Heavy Vehicles,3,2,2,4,6,19,49,43,53,54,66,67,68,56,70,71,55,44,29,17,9,4,6,4,0,0
2008,19/12/2008,Southbound,Light Vehicles,259,157,122,67,79,258,710,1050,1195,1124,1179,1268,1333,1260,1515,1789,1979,2274,1938,1169,697,658,720,565,0,0
2008,19/12/2008,Northbound,Heavy Vehicles,3,3,6,6,11,28,78,96,97,70,93,51,61,47,53,45,38,27,21,11,4,7,8,8,0,0
2008,19/12/2008,Northbound,All Vehicles,135,67,38,47,93,374,1421,2287,2611,1747,1324,1221,1163,1050,1149,1232,1177,1286,1205,830,478,469,486,401,0,0
2008,19/12/2008,Southbound,All Vehicles,262,159,124,71,85,277,759,1093,1248,1178,1245,1335,1401,1316,1585,1860,2034,2318,1967,1186,706,662,726,569,0,0
2008,20/12/2008,Southbound,Heavy Vehicles,4,4,2,,10,7,23,32,28,29,31,27,37,44,20,22,17,18,15,10,10,2,2,2,0,1
2008,20/12/2008,Northbound,Light Vehicles,236,125,83,52,84,154,509,660,936,1040,1134,1141,1169,1025,995,1041,974,932,907,671,434,398,430,448,0,1
2008,20/12/2008,Southbound,Light Vehicles,359,208,129,103,118,193,336,500,768,966,1255,1316,1415,1292,1256,1254,1213,1260,1224,922,595,574,582,577,0,1
